CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,10/13/2017 09:00:00 PM,17-916247,VANDALISM,01X,200BLK WEBSTER ST,Oakland,CA,"200BLK WEBSTER ST
Oakland, CA
(37.795442, -122.273739)"
WEAPONS,10/30/2017 05:52:00 PM,17-057011,CARRY CONCEALED WEAPON IN VEHICLE,04X,600 15TH ST,Oakland,CA,"600 15TH ST
Oakland, CA
(37.806565, -122.274769)"
ROBBERY,11/10/2017 10:50:00 PM,17-059083,ROBBERY-KNIFE OR CUTTING INSTRUMENT,09X,4100 PIEDMONT AV,Oakland,CA,"4100 PIEDMONT AV
Oakland, CA
(37.826568, -122.252189)"
ASSAULT,12/19/2017 08:37:00 PM,17-066015,THREAT CRIME:INT:TERRORIZE,30X,1500 68TH AV,Oakland,CA,"1500 68TH AV
Oakland, CA
(37.761879, -122.189931)"
VANDALISM,12/12/2017 08:23:00 AM,17-919596,VANDALISM,17Y,1300 E 31ST ST,Oakland,CA,"1300 E 31ST ST
Oakland, CA
(37.799847, -122.234451)"
THEFT/LARCENY,12/21/2017 09:25:00 PM,18-900039,BURGLARY-AUTO,03X,400 8TH ST,Oakland,CA,"400 8TH ST
Oakland, CA
(37.799726, -122.272547)"
MOTOR VEHICLE THEFT,11/22/2017 02:00:00 AM,17-061174,VEHICLE THEFT - AUTO,17X,900 E 20TH ST,Oakland,CA,"900 E 20TH ST
Oakland, CA
(37.796529, -122.244721)"
VANDALISM,10/13/2017 10:40:00 AM,17-916194,VANDALISM,13Z,6400 THORNHILL DRIVE,Oakland,CA,"6400 THORNHILL DRIVE
Oakland, CA
(37.841832, -122.206527)"
VANDALISM,11/27/2017 08:00:00 AM,17-918771,VANDALISM,02X,700 4TH ST,Oakland,CA,"700 4TH ST
Oakland, CA
(37.79975, -122.281359)"
BURGLARY,10/16/2017 10:16:00 AM,17-054288,BURGLARY-FORCIBLE ENTRY,31Y,9900 GIBRALTAR RD,Oakland,CA,"9900 GIBRALTAR RD
Oakland, CA
(37.73022, -122.188727)"
DISTURBING THE PEACE,10/31/2017 03:59:00 PM,17-057192,DISTURB THE PEACE,03X,100 7TH ST,Oakland,CA,"100 7TH ST
Oakland, CA
(37.796242, -122.265889)"
VANDALISM,01/01/2018 12:01:00 AM,18-000016,VANDALISM,32X,1300 99TH AV,Oakland,CA,"1300 99TH AV
Oakland, CA
(37.74304, -122.171164)"
ASSAULT,12/08/2017 02:38:00 PM,17-063942,BATTERY,27Y,6400 INTERNATIONAL BLVD,Oakland,CA,"6400 INTERNATIONAL BLVD
Oakland, CA
(37.763032, -122.195145)"
DRUGS/ALCOHOL VIOLATIONS,12/05/2017 02:00:00 PM,17-063367,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",02Y,1300 WILLOW ST,Oakland,CA,"1300 WILLOW ST
Oakland, CA
(37.811993, -122.297038)"
ROBBERY,12/19/2017 08:30:00 PM,17-065983,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",28X,3400 HIGH ST,Oakland,CA,"3400 HIGH ST
Oakland, CA
(37.78614, -122.197109)"
THEFT/LARCENY,12/21/2017 09:30:00 PM,18-900067,BURGLARY-AUTO,08X,300 24TH ST,Oakland,CA,"300 24TH ST
Oakland, CA
(37.812948, -122.262869)"
BURGLARY,12/19/2017 07:15:00 PM,17-066087,BURGLARY-NO FORCE,10X,1100 STANFORD AV,Oakland,CA,"1100 STANFORD AV
Oakland, CA
(37.840961, -122.283123)"
ASSAULT,12/04/2017 10:00:00 PM,17-063238,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,21Y,3200 ARKANSAS ST,Oakland,CA,"3200 ARKANSAS ST
Oakland, CA
(37.794739, -122.207636)"
THEFT/LARCENY,12/20/2017 06:20:00 AM,17-919615,BURGLARY-AUTO,31X,400 HEGENBERGER ROAD,Oakland,CA,"400 HEGENBERGER ROAD
Oakland, CA
(37.735772, -122.197083)"
THEFT/LARCENY,10/13/2017 06:45:00 PM,17-916250,BURGLARY-AUTO,12X,5100 SHATTUCK AVE,Oakland,CA,"5100 SHATTUCK AVE
Oakland, CA
(37.837311, -122.264102)"
VANDALISM,12/22/2017 08:15:00 AM,18-900027,VANDALISM,03X,600 MADISON ST,Oakland,CA,"600 MADISON ST
Oakland, CA
(37.796235, -122.267365)"
ASSAULT,12/07/2017 06:00:00 PM,17-063870,THREAT CRIME:INT:TERRORIZE,35X,2400 96TH AV,Oakland,CA,"2400 96TH AV
Oakland, CA
(37.750884, -122.160601)"
DRUGS/ALCOHOL VIOLATIONS,10/30/2017 01:10:00 AM,17-056860,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,3100 FILBERT ST,Oakland,CA,"3100 FILBERT ST
Oakland, CA
(37.821962, -122.278204)"
MOTOR VEHICLE THEFT,01/01/2018 12:34:00 AM,18-000021,VEHICLE THEFT - AUTO,31Y,500 JONES AV,Oakland,CA,"500 JONES AV
Oakland, CA
(37.73622, -122.188513)"
ARSON,12/07/2017 09:04:00 AM,17-063860,ARSON: PROPERTY,33X,1300 90TH AV,Oakland,CA,"1300 90TH AV
Oakland, CA
(37.749149, -122.17604)"
ROBBERY,11/10/2017 08:13:00 PM,17-059055,ROBBERY-FIREARM,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
ASSAULT,11/21/2017 02:45:00 PM,17-060874,BATTERY,23X,3400 INTERNATIONAL BLVD,Oakland,CA,"3400 INTERNATIONAL BLVD
Oakland, CA
(37.776635, -122.223701)"
THEFT/LARCENY,12/07/2017 05:30:00 PM,17-063794,BURGLARY-AUTO,01X,400 WEBSTER ST,Oakland,CA,"400 WEBSTER ST
Oakland, CA
(37.796639, -122.272996)"
FRAUD,11/10/2017 12:00:00 AM,17-061342,GET CREDIT/ETC OTHER'S ID,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
MOTOR VEHICLE THEFT,12/18/2017 09:35:00 PM,17-065829,VEHICLE THEFT - AUTO,23X,800 33RD AV,Oakland,CA,"800 33RD AV
Oakland, CA
(37.77314, -122.227021)"
DRUGS/ALCOHOL VIOLATIONS,12/05/2017 04:03:00 PM,17-063401,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,15X,500 MACARTHUR BLVD,Oakland,CA,"500 MACARTHUR BLVD
Oakland, CA
(37.817289, -122.25285)"
THEFT/LARCENY,12/19/2017 10:30:00 PM,18-900029,BURGLARY-AUTO,,6100 OLD QUARRY LOOP,Oakland,CA,"6100 OLD QUARRY LOOP
Oakland, CA
(37.77902, -122.166005)"
BURGLARY,12/31/2017 07:00:00 PM,18-000073,BURGLARY-FORCIBLE ENTRY,06X,700 29TH ST,Oakland,CA,"700 29TH ST
Oakland, CA
(37.818942, -122.272453)"
THEFT/LARCENY,12/11/2017 08:00:00 PM,17-919585,BURGLARY-AUTO,09X,100 41ST ST,Oakland,CA,"100 41ST ST
Oakland, CA
(37.826131, -122.251347)"
